"","id_no","binomial"
"27795",13646,"Molossus currentium"
"27797",16738,"Petinomys sagitta"
"27798",9153,"Gerbillus tarabuli"
"27799",29650,"Erinaceus europaeus"
"27806",4221,"Cercopithecus mitis"
"27851",20003,"Sciurus aestuans"
"27853",40765,"Nesoryzomys narboroughi"
"27854",41280,"Lepus europaeus"
"27873",42563,"Spermophilus spilosoma"
"27874",1808,"Aotus lemurinus"
"27875",41497,"Tupaia minor"
"27890",4334,"Chaetodipus intermedius"
"27891",6221,"Dactylomys dactylinus"
"27892",16,"Abrawayaomys ruschii"
"27893",18144,"Priodontes maximus"
"27894",12865,"Mastomys coucha"
"27897",13957,"Mus cervicolor"
"27905",21491,"Tarsius tarsier"
"27918",18095,"Potamogale velox"
"27920",136365,"Blarinella griselda"
"27922",15584,"Nephelomys albigularis"
"27925",136260,"Akodon mystax"
"27927",41285,"Lepus saxatilis"
"27928",10846,"Iomys sipora"
"27930",4660,"Chionomys roberti"
"27932",3811,"Capricornis crispus"
"27936",136605,"Cynomops paranus"
"27938",10749,"Hystrix brachyura"
"27945",17460,"Plagiodontia aedium"
"27949",21206,"Sylvilagus graysoni"
"27953",41302,"Sylvilagus bachmani"
"27954",11488,"Lemniscomys bellieri"
"27955",12552,"Macaca fuscata"
"27972",17331,"Pipistrellus cadornae"
"27975",12643,"Macroscelides proboscideus"
"27976",19454,"Rhagomys rufescens"
"27977",19612,"Rhipidomys mastacalis"
"27979",136774,"Scotophilus marovaza"
"27981",136546,"Abrocoma vaccarum"
"27982",40510,"Marmosa demerarae"
"27983",41312,"Tachyglossus aculeatus"
"27997",44863,"Myotis anjouanensis"
"27998",5500,"Crateromys schadenbergi"
"27999",13408,"Microryzomys minutus"
"28003",20483,"Spermophilus erythrogenys"
"28006",40036,"Tadarida latouchei"
"28012",40768,"Pearsonomys annectens"
"28013",6780,"Dobsonia viridis"
"28019",6019,"Cyclopes didactylus"
"28022",17367,"Falsistrellus tasmaniensis"
"28024",39835,"Semnopithecus dussumieri"
"28025",12557,"Macaca ochreata"
"28028",4659,"Chionomys nivalis"
"28046",136799,"Moschiola kathygre"
"28047",41588,"Vulpes zerda"
"28048",16740,"Petinomys vordermanni"
"28054",11487,"Lemniscomys barbarus"
"28057",14121,"Eospalax rothschildi"
"28058",62014,"Microgale gymnorhyncha"
"28061",14155,"Myotis dominicensis"
"28064",21311,"Tadarida teniotis"
"28253",136525,"Abrocoma shistacea"
"28254",44799,"Glauconycteris superba"
"28257",15131,"Oecomys bicolor"
"28260",17975,"Pongo pygmaeus"
"28462",29403,"Hylaeamys megacephalus"
"28464",40523,"Antechinus bellus"
"28467",5629,"Crocidura foxi"
"28468",7922,"Eptesicus diminutus"
"28470",201936,"Thylamys pusillus"
"28471",136467,"Melomys cooperae"
"28472",6801,"Dorcopsulus macleayi"
"28473",11621,"Lepilemur ruficaudatus"
"28474",14742,"Neusticomys oyapocki"
"28475",2785,"Bettongia penicillata"
"28487",42578,"Tamias rufus"
"28488",136646,"Pipistrellus raceyi"
"28491",136811,"Sorex veraecrucis"
"28492",5146,"Colobus vellerosus"
"28493",18717,"Pteropus argentatus"
"28495",136759,"Rhipidomys gardneri"
"28496",20012,"Sciurus ignitus"
"28498",41500,"Tupaia splendidula"
"28502",4335,"Chaetodipus nelsoni"
"28503",7112,"Elaphodus cephalophus"
"28505",14133,"Myotis myotis"
"28510",20486,"Spermophilus major"
"28514",136494,"Sturnira oporaphilum"
"28515",39916,"Alouatta guariba"
"28516",20067,"Scotophilus heathii"
"28519",2054,"Arctocebus calabarensis"
"28520",747,"Akodon molinae"
"28551",136367,"Abrocoma famatina"
"28552",15550,"Orthogeomys thaeleri"
"28553",4140,"Cephalophus jentinki"
"28558",14120,"Myospalax psilurus"
"28559",10594,"Hylomyscus alleni"
"28561",10120,"Hipposideros commersoni"
"28615",19819,"Saguinus leucopus"
"28616",5824,"Ctenomys saltarius"
"28617",19522,"Rhinolophus affinis"
"28639",4973,"Myodes glareolus"
"28662",41510,"Sminthopsis griseoventer"
"28666",9630,"Haeromys margarettae"
"28668",14590,"Neotoma mexicana"
"28669",136215,"Cratogeomys fulvescens"
"28670",16021,"Papio cynocephalus"
"28672",41584,"Callibella humilis"
"28673",14178,"Myotis macrotarsus"
"28698",20294,"Sminthopsis aitkeni"
"28700",13841,"Mops midas"
"28725",17368,"Pipistrellus tenuis"
"28748",6779,"Dobsonia moluccensis"
"28852",18705,"Pteronotus davyi"
"28860",13448,"Microtus nasarovi"
"28861",16074,"Paradipus ctenodactylus"
"28864",14159,"Myotis findleyi"
"28867",18365,"Prosciurillus weberi"
"28868",2353,"Atherurus africanus"
"28870",9452,"Grammomys caniceps"
"28872",136693,"Akodon reigi"
"28873",15189,"Olallamys albicauda"
"28875",15569,"Oryx leucoryx"
"28882",17326,"Pipistrellus angulatus"
"28904",18562,"Pseudomys desertor"
"28909",20738,"Steno bredanensis"
"28910",17176,"Phyllops falcatus"
"28913",19804,"Saccopteryx bilineata"
"28916",40020,"Cebus capucinus"
"28921",12074,"Liomys irroratus"
"28922",7950,"Equus grevyi"
"28932",136264,"Bullimus gamay"
"28933",14388,"Neacomys spinosus"
"28934",15004,"Nyctophilus gouldi"
"28938",14325,"Nannosciurus melanotis"
"28944",11037,"Kobus vardonii"
"28958",41386,"Sorex asper"
"28959",29667,"Sorex minutus"
"29378",23325,"Zyzomys argurus"
"29398",19319,"Rattus tawitawiensis"
"29399",39913,"Mico nigriceps"
"29400",136250,"Myotis davidii"
"29403",136400,"Phyllomys lundi"
"29404",15593,"Nephelomys devius"
"29405",22810,"Uropsilus soricipes"
"29407",41633,"Conepatus semistriatus"
"29410",14294,"Naemorhedus baileyi"
"29411",40585,"Trichosurus vulpecula"
"29436",41378,"Cryptotis squamipes"
"29437",15785,"Oxymycterus hispidus"
"29438",16737,"Petinomys lugens"
"29440",21495,"Tarsomys apoensis"
"29446",12655,"Macruromys elegans"
"29447",14134,"Myotis mystacinus"
"29509",40574,"Thylogale stigmatica"
"29513",5803,"Ctenomys dorsalis"
"29514",6222,"Dactylomys peruanus"
"29516",4321,"Chaerephon tomensis"
"29517",41308,"Lepus tolai"
"29518",42680,"Oreamnos americanus"
"29624",136225,"Graomys centralis"
"29625",18245,"Procolobus verus"
"29630",135458,"Talpa davidiana"
"29632",14707,"Nesoryzomys fernandinae"
"29633",18418,"Psammomys obesus"
"29638",2542,"Bandicota savilei"
"29640",22802,"Uromys hadrourus"
"29643",11634,"Leporillus conditor"
"29653",12570,"Macaca hecki"
"29654",16026,"Cratogeomys fumosus"
"29663",14258,"Mysateles prehensilis"
"29664",136608,"Sorex neomexicanus"
"29665",12653,"Macrotus waterhousii"
"29673",136632,"Rattus pococki"
"29674",136339,"Sorex ixtlanensis"
"29676",136563,"Juliomys rimofrons"
"29679",136194,"Natalus lanatus"
"29680",136319,"Tarsius lariang"
"29681",44915,"Graphiurus angolensis"
"29683",5086,"Coendou rothschildi"
"29685",746,"Akodon mimus"
"29686",14106,"Myosorex eisentrauti"
"29688",20021,"Sciurus sanborni"
"29689",13488,"Microtus arvalis"
"29700",17220,"Phyllotis amicus"
"29701",21510,"Gerbilliscus boehmi"
"29702",2131,"Artibeus hirsutus"
"29706",3322,"Bullimus bagobus"
"29715",40632,"Crocidura fulvastra"
"29716",4414,"Chalinolobus dwyeri"
"29717",16508,"Pelomys campanae"
"29720",16564,"Peponocephala electra"
"29721",6405,"Dendrogale melanura"
"29722",13880,"Mormopterus beccarii"
"29735",41474,"Scapanus orarius"
"29736",6286,"Dasyprocta prymnolopha"
"29737",39895,"Nomascus leucogenys"
"29761",44861,"Fukomys kafuensis"
"29762",15009,"Nyctophilus sherrini"
"29764",15006,"Nyctophilus howensis"
"29765",17347,"Pipistrellus lophurus"
"29766",21874,"Thylogale browni"
"29772",41455,"Nectogale elegans"
"29775",6820,"Dremomys everetti"
"29776",11138,"Laephotis wintoni"
"29778",136462,"Cryptotis obscura"
"29780",18275,"Proechimys brevicauda"
"29781",21793,"Thomasomys vestitus"
"29782",10161,"Hipposideros sorenseni"
"29783",136775,"Chibchanomys orcesi"
"29784",7801,"Eothenomys melanogaster"
"29787",44992,"Arvicanthis rufinus"
"29788",5610,"Crocidura nicobarica"
"29789",9564,"Gymnobelideus leadbeateri"
"29791",45060,"Mastomys awashensis"
"29792",42674,"Ochrotomys nuttalli"
"29793",13376,"Lampronycteris brachyotis"
"29797",136320,"Melomys talaudium"
"29799",2153,"Asellia patrizii"
"29802",21790,"Thomasomys rosalinda"
"29803",40580,"Petropseudes dahli"
"29810",136684,"Mirza zaza"
"29812",16971566,"Avahi mooreorum"
"29813",10278,"Hybomys basilii"
"29815",10551,"Hylobates muelleri"
"29818",13355,"Microgale thomasi"
"29821",136815,"Callicebus aureipalatii"
"29822",22771,"Uranomys ruddi"
"29823",17568,"Platyrrhinus chocoensis"
"29824",40015,"Procolobus gordonorum"
"29825",5512,"Madromys blanfordi"
"29827",12267,"Lonchophylla mordax"
"29828",21163,"Sundasciurus steerii"
"29832",19682,"Rhogeessa minutilla"
"29834",20475,"Spermophilus washingtoni"
"29837",16208,"Paraxerus lucifer"
"29838",2783,"Bettongia gaimardi"
"29840",23115,"Xenomys nelsoni"
"29841",40558,"Aepyprymnus rufescens"
"29842",12305,"Lontra provocax"
"29854",19536,"Rhinolophus darlingi"
"29859",13167,"Meriones rex"
"29860",136616,"Habromys schmidlyi"
"29861",136590,"Spermophilus taurensis"
"29862",15253,"Oligoryzomys nigripes"
"29863",20394,"Sorex sclateri"
"29865",3649,"Caluromys philander"
"29871",41013,"Equus quagga"
"29885",42451,"Ammospermophilus interpres"
"29886",18129,"Presbytis melalophos"
"29891",41695,"Civettictis civetta"
"29893",570,"Aethomys granti"
"29894",17353,"Pipistrellus nanulus"
"29897",12551,"Macaca fascicularis"
"29944",15616,"Aegialomys xanthaeolus"
"29945",40767,"Dryomys niethammeri"
"29946",6786,"Dolichotis salinicola"
"29947",7921,"Eptesicus dimissus"
"29949",14955,"Nyctimene cyclotis"
"29951",20334,"Solomys salamonis"
"29952",20037,"Scolomys ucayalensis"
"29953",23323,"Zygogeomys trichopus"
"29956",15661,"Otomys typus"
"29962",2857,"Necromys amoenus"
"29963",20956,"Sturnira magna"
"29964",136262,"Hylopetes platyurus"
"29966",12558,"Macaca radiata"
"29968",6280,"Dasyprocta cristata"
"29972",16777,"Petromyscus barbouri"
"29973",136545,"Cryptonanus agricolai"
"29974",136701,"Paramelomys gressitti"
"29975",3599,"Callosciurus nigrovittatus"
"29980",5827,"Ctenomys steinbachi"
"29981",62012,"Microgale drouhardi"
"29982",9678,"Hapalemur occidentalis"
"29983",136561,"Mimon cozumelae"
"29985",4248,"Cerdocyon thous"
"29990",7924,"Vespadelus finlaysoni"
"29993",12767,"Phataginus tricuspis"
"29995",16661,"Peromyscus furvus"
"29996",19526,"Rhinolophus bocharicus"
"29997",20195,"Sicista tianshanica"
"29999",4307,"Chaerephon bemmeleni"
"30002",8973,"Eudorcas rufifrons"
"30005",136336,"Oligoryzomys moojeni"
"30006",136751,"Isothrix negrensis"
"30007",4326,"Chaetodipus arenarius"
"30010",18364,"Prosciurillus murinus"
"30013",45200,"Myomyscus brockmani"
"30014",136826,"Ctenomys tulduco"
"30015",21312,"Tadarida aegyptiaca"
"30027",21379,"Tamiops macclellandii"
"30028",40567,"Macropus rufus"
"30029",40607,"Hemiechinus auritus"
"30034",6823,"Dremomys pyrrhomerus"
"30039",18294,"Proechimys roberti"
"30040",21382,"Tamiops swinhoei"
"30044",3602,"Callosciurus phayrei"
"30045",10543,"Hylobates agilis"
"30047",11035,"Kobus ellipsiprymnus"
"30054",14486,"Nelsonia goldmani"
"30056",21158,"Sundasciurus lowii"
"30065",42396,"Capreolus pygargus"
"30068",45088,"Gerbillus campestris"
"30085",17401,"Pithecheir parvus"
"30086",41758,"Platanista gangetica"
"30088",136709,"Lepilemur tymerlachsoni"
"30089",12594,"Macroglossus minimus"
"30248",12977,"Megaloglossus woermanni"
"30251",15452,"Leopardus jacobita"
"30255",2133,"Artibeus incomitatus"
"30256",19808,"Saccostomus campestris"
"30258",3616,"Calomys sorellus"
"30259",7750,"Enhydra lutris"
"30269",17317,"Pipistrellus pipistrellus"
"30306",41525,"Saguinus midas"
"30307",18508,"Pseudochirulus cinereus"
"30310",41413,"Sorex preblei"
"30311",136440,"Cerradomys andersoni"
"30312",19618,"Rhipidomys wetzeli"
"30313",136541,"Aethalops aequalis"
"30314",15330,"Onychogalea fraenata"
"30318",19799,"Saccolaimus flaviventris"
"30327",22803,"Uromys imperator"
"30328",41627,"Melogale personata"
"30330",761,"Akodon surdus"
"30331",136713,"Pronolagus saundersiae"
"30332",267,"Acomys kempi"
"30333",9459,"Grammomys minnae"
"30334",13343,"Microgale gracilis"
"30336",16735,"Petinomys genibarbis"
"30340",19538,"Rhinolophus denti"
"30343",40514,"Monodelphis domestica"
"30344",41467,"Mogera wogura"
"30362",42622,"Dicrostonyx richardsoni"
"30363",9129,"Gerbillus hoogstraali"
"30364",23061,"Vulpes ferrilata"
"30365",13949,"Murina tubinaris"
"30367",14164,"Myotis hasseltii"
"30385",20212,"Sigmodon fulviventer"
"30388",21744,"Theropithecus gelada"
"30391",21500,"Tasmacetus shepherdi"
"30410",275,"Acomys subspinosus"
"30411",16850,"Phalanger vestitus"
"30415",4652,"Chinchilla lanigera"
"30417",136560,"Pipistrellus alaschanicus"
"30422",18363,"Prosciurillus leucomus"
"30434",20052,"Scotinomys teguina"
"30439",45072,"Praomys petteri"
"30441",44855,"Pipistrellus musciculus"
"30444",12073,"Liomys adspersus"
"30445",17320,"Pipistrellus abramus"
"30470",7902,"Epomophorus grandis"
"30472",14962,"Nyctimene albiventer"
"30504",42636,"Phenacomys intermedius"
"30511",19417,"Reithrodontomys sumichrasti"
"30514",19413,"Reithrodontomys montanus"
"30515",5575,"Crocidura manengubae"
"30518",19823,"Saguinus oedipus"
"30519",136444,"Crocidura caspica"
"30520",135485,"Hipposideros vittatus"
"30526",20953,"Sturnira lilium"
"30534",39896,"Nomascus siki"
"30536",136843,"Lepilemur ahmansonorum"
"30537",851,"Allactaga balikunica"
"30538",21210,"Sylvilagus mansuetus"
"30539",19574,"Rhinolophus trifoliatus"
"30554",198920,"Neophocaena phocaenoides"
"30555",136829,"Myoictis wavicus"
"30556",136575,"Thomasomys onkiro"
"30557",136600,"Hipposideros pelingensis"
"30564",14157,"Myotis evotis"
"30565",136622,"Lepilemur mittermeieri"
"30566",136570,"Neacomys minutus"
"30567",15140,"Oecomys rutilus"
"30568",5144,"Colobus polykomos"
"30569",17350,"Pipistrellus minahassae"
"30570",136355,"Thrichomys inermis"
"30571",14830,"Noctilio leporinus"
"30596",17035,"Phodopus campbelli"
"30598",20022,"Sciurus spadiceus"
"30599",41330,"Crocidura littoralis"
"30600",9123,"Gerbillus gerbillus"
"30602",9127,"Gerbillus henleyi"
"30606",6683,"Dipodomys nitratoides"
"30610",14196,"Myotis rosseti"
"30611",136472,"Babyrousa togeanensis"
"30615",15649,"Otomops papuensis"
"30617",19863,"Salpingotus crassicauda"
"30618",2127,"Artibeus fraterculus"
"30619",21381,"Tamiops rodolphii"
"30620",5151,"Colomys goslingi"
"30624",23078,"Juliomys pictipes"
"30625",9149,"Gerbillus simoni"
"30627",20025,"Sciurus vulgaris"
"31263",20890,"Strigocuscus celebensis"
"31267",2610,"Bassaricyon beddardi"
"31268",4068,"Cavia tschudii"
"31269",4007,"Castor fiber"
"31310",41684,"Nasua nasua"
"31311",14549,"Neophoca cinerea"
"31312",20058,"Scotomanes ornatus"
"31314",21316,"Tadarida fulminans"
"31331",13493,"Microtus duodecimcostatus"
"31332",41256,"Ochotona cansus"
"31335",1794,"Aonyx congicus"
"31336",21150,"Sundamys infraluteus"
"31340",41777,"Pecari tajacu"
"31344",8245,"Eumops hansae"
"31351",10114,"Hipposideros breviceps"
"31352",17216,"Phyllostomus discolor"
"31354",44990,"Aethomys ineptus"
"31355",5076,"Coelops robinsoni"
"31358",6447,"Dendromus nyikae"
"31360",12559,"Macaca silenus"
"31362",3816,"Capricornis thar"
"31365",18150,"Prionailurus viverrinus"
"31395",18731,"Pteropus leucopterus"
"31400",2149,"Arvicola amphibius"
"31445",6510,"Desmodus rotundus"
"31450",6977,"Phyllomys blainvillii"
"31451",40560,"Macropus agilis"
"31475",6336,"Delphinus delphis"
"31481",190871,"Sotalia fluviatilis"
"31482",136736,"Cryptotis brachyonyx"
"31483",22055,"Tragelaphus oryx"
"31486",22029,"Trachops cirrhosus"
"31488",23036,"Viverra civettina"
"31489",10143,"Hipposideros larvatus"
"31510",136596,"Crocidura hikmiya"
"31512",16900,"Myodes smithii"
"31517",41367,"Crocidura yankariensis"
"31518",41416,"Sorex saussurei"
"31520",136192,"Hipposideros orbiculus"
"31522",136317,"Platyrrhinus nigellus"
"31524",14359,"Chilonatalus micropus"
"31528",13246,"Mesoplodon ginkgodens"
"31529",136254,"Lepilemur randrianasoloi"
"31530",4651,"Chinchilla chinchilla"
"31531",19529,"Rhinolophus capensis"
"31532",20055,"Scotoecus hirundo"
"31533",20639,"Spilocuscus rufoniger"
"31535",13122,"Mammelomys lanosus"
"31538",18730,"Pteropus insularis"
"31545",40583,"Tarsipes rostratus"
"31546",19381,"Ratufa macroura"
"31551",15664,"Otonyctomys hatti"
"31552",21778,"Thomasomys incanus"
"31554",2398,"Auliscomys sublimis"
"31555",41209,"Nesolagus timminsi"
"31557",41486,"Uropsilus andersoni"
"31558",12937,"Megadendromus nikolausi"
"31560",10139,"Hipposideros inexpectatus"
"31561",14944,"Nycticeius humeralis"
"31562",19363,"Rattus sordidus"
"31574",42452,"Ammospermophilus leucurus"
"31579",7656,"Ellobius talpinus"
"31580",14867,"Notomys alexis"
"31581",54778866,"Cheirogaleus medius"
"31582",10109,"Hipposideros abae"
"31583",13604,"Mogera etigo"
"31584",18760,"Pteropus speciosus"
"31593",19566,"Rhinolophus shameli"
"31595",41502,"Galeopterus variegatus"
"31617",9137,"Gerbillus nigeriae"
"31618",16668,"Peromyscus interparietalis"
"31621",136662,"Lepilemur betsileo"
"31622",136272,"Microcebus mittermeieri"
"31623",17231,"Phyllotis wolffsohni"
"31624",20389,"Sorex sinalis"
"31625",15865,"Pachyuromys duprasi"
"31636",13427,"Microtus californicus"
"31639",21380,"Tamiops maritimus"
"31643",40629,"Crocidura douceti"
"31649",4703,"Calyptophractus retusus"
"31650",14169,"Myotis insularum"
"31651",12595,"Macroglossus sobrinus"
"31663",41382,"Myosorex varius"
"31665",136489,"Rhynchomys tapulao"
"31666",12554,"Macaca mulatta"
"31669",4420,"Chalinolobus neocaledonicus"
"31670",16039,"Paracoelops megalotis"
"31671",17338,"Scotozous dormeri"
"31678",9466,"Graomys edithae"
"31679",136621,"Pedetes surdaster"
"31680",10602,"Hylopetes bartelsi"
"31681",136261,"Euneomys fossor"
"31682",40517,"Thylamys elegans"
"31689",41783,"Axis axis"
"31691",13936,"Murina aenea"
"31693",136353,"Juscelinomys huanchacae"
"31694",12269,"Lonchophylla thomasi"
"31695",19550,"Rhinolophus macrotis"
"31713",41350,"Crocidura pasha"
"31717",6235,"Damaliscus lunatus"
"31736",6990,"Phyllomys unicolor"
"31737",4332,"Chaetodipus goldmani"
"31738",5795,"Ctenomys argentinus"
"31739",9130,"Gerbillus jamesi"
"31740",12947,"Megaerops niphanae"
"31742",136211,"Aotus jorgehernandezi"
"31743",136284,"Mesomys occultus"
"31744",136585,"Moschiola indica"
"31745",14474,"Nectomys rattus"
"31746",219,"Acinonyx jubatus"
"31777",59544947,"Microcebus rufus"
"31778",14820,"Niviventer fulvescens"
"31786",41624,"Suricata suricatta"
"31787",136651,"Rhinolophus siamensis"
"31788",2994,"Brachyteles hypoxanthus"
"31790",21661,"Tetracerus quadricornis"
"31792",42455,"Marmota broweri"
"31793",1559,"Anonymomys mindorensis"
"31794",20485,"Spermophilus madrensis"
"31795",41275,"Lepus brachyurus"
"31808",13369,"Microhydromys richardsoni"
"31810",42661,"Elephantulus intufi"
"31811",4777,"Choloepus didactylus"
"31812",39795,"Macaca siberu"
"31813",1914,"Apomys microdon"
"31817",9672,"Hapalemur aureus"
"31818",16662,"Peromyscus grandis"
"31819",135446,"Ateles fusciceps"
"31821",11506,"Leontopithecus rosalia"
"31822",9136,"Gerbillus nanus"
"31824",18554,"Pseudomys oralis"
"31826",5522,"Cricetomys gambianus"
"31832",14600,"Neotomodon alstoni"
"31839",4212,"Cercopithecus ascanius"
"31848",42630,"Microtus montanus"
"31853",13133,"Melomys rufescens"
"31867",41456,"Notiosorex crawfordi"
"31870",41348,"Crocidura olivieri"
"31872",136679,"Calomys tocantinsi"
"31873",16025,"Cratogeomys castanops"
"31876",19403,"Reithrodontomys burti"
"31877",41654,"Mustela frenata"
"31880",41387,"Sorex bairdi"
"31881",4192,"Cercartetus caudatus"
"31885",8386,"Euroscaptor parvidens"
"31888",13393,"Micropotamogale lamottei"
"31891",41554,"Trachypithecus barbei"
"31892",136198,"Brucepattersonius paradisus"
"31893",5705,"Crunomys fallax"
"31894",16114,"Parahydromys asper"
"31898",165924,"Elephantulus pilicaudus"
"31899",9493,"Graphiurus surdus"
"31900",5567,"Crocidura grassei"
"31901",16722,"Petaurista nobilis"
"31903",10117,"Hipposideros camerunensis"
"31906",4201,"Cercocebus torquatus"
"31907",763,"Akodon toba"
"31908",1903,"Apodemus speciosus"
"31937",21318,"Tadarida ventralis"
"31939",5521,"Cricetomys emini"
"31941",136342,"Tonkinomys daovantieni"
"31942",756,"Akodon serrensis"
"31943",9948,"Herpailurus yagouaroundi"
"31944",23137,"Xenuromys barbatus"
"31945",42464,"Spermophilus beldingi"
"31946",10123,"Hipposideros coxi"
"31947",14586,"Neotoma devia"
"31948",20229,"Simias concolor"
"31952",21203,"Sylvicapra grimmia"
"31955",41524,"Saguinus labiatus"
"31958",14709,"Nesoryzomys swarthi"
"31959",14136,"Myotis sodalis"
"31960",17565,"Platyrrhinus lineatus"
"31963",9276,"Glossophaga morenoi"
"31964",13569,"Miniopterus pusillus"
"31980",136624,"Oecomys auyantepui"
"31981",12704,"Malacomys longipes"
"31985",2053,"Arctocebus aureus"
"31986",19839,"Saimiri vanzolinii"
"31987",1904,"Apodemus sylvaticus"
"32110",41615,"Herpestes naso"
"32112",736,"Akodon iniscatus"
"32129",136778,"Sturnira sorianoi"
"32131",14584,"Neotoma bryanti"
"32132",11499,"Lenothrix canus"
"32138",12304,"Lontra longicaudis"
"32139",19577,"Rhinolophus keyensis"
"32150",17828,"Podogymnura truei"
"32153",10127,"Hipposideros demissus"
"32154",14174,"Myotis levis"
"32155",29461,"Voalavo gymnocaudus"
"32156",136744,"Microcebus simmonsi"
"32157",44936,"Acomys airensis"
"32158",136369,"Avahi meridionalis"
"32159",13699,"Monodelphis rubida"
"32161",136323,"Peromyscus beatae"
"32165",13885,"Mormopterus norfolkensis"
"32167",19762,"Rubrisciurus rubriventer"
"32169",21488,"Tarsius bancanus"
"32175",14086,"Myoictis melas"
"32180",42567,"Sundasciurus mindanensis"
"32181",8256,"Euneomys chinchilloides"
"32184",136743,"Caenolestes condorensis"
"32185",136331,"Aconaemys porteri"
"32186",8998,"Genetta cristata"
"32189",7928,"Eptesicus fuscus"
"32208",13169,"Meriones tamariscinus"
"32210",15651,"Otomys anchietae"
"32211",42593,"Orthogeomys underwoodi"
"32213",136586,"Hipposideros scutinares"
"32214",1581,"Antechinomys laniger"
"32217",29742,"Rangifer tarandus"
"32299",22918,"Varecia variegata"
"32302",15792,"Oxymycterus rufus"
"32304",44166,"Aonyx cinerea"
"32329",4684,"Chiropodomys pusillus"
"32330",29404,"Hylaeamys laticeps"
"32331",29464,"Proechimys kulinae"
"32332",41428,"Episoriculus caudatus"
"32335",18356,"Propithecus coronatus"
"32336",8168,"Eudiscopus denticulus"
"32340",5631,"Crocidura gracilipes"
"32341",20959,"Sturnira thomasi"
"32344",44864,"Myotis punicus"
"32349",18848,"Pudu puda"
"32350",4774,"Choeroniscus minor"
"32352",21349,"Tamandua mexicana"
"32353",1565,"Anoura caudifer"
"32354",11175,"Lagothrix lagotricha"
"32357",11348,"Lasiurus castaneus"
"32358",136699,"Pseudochirulus larvatus"
"32360",15242,"Oligoryzomys arenalis"
"32361",2128,"Artibeus glaucus"
"32365",21789,"Thomasomys rhoadsi"
"32366",41265,"Ochotona macrotis"
"32367",4819,"Chrysocyon brachyurus"
"32373",40023,"Rhinolophus beddomei"
"32376",41507,"Lestoros inca"
"32377",41319,"Crocidura gmelini"
"32378",22844,"Vandeleuria nolthenii"
"32380",5513,"Cremnomys cutchicus"
"32383",7137,"Elephantulus revoilii"
"32384",10863,"Isoodon auratus"
"32391",6220,"Dactylomys boliviensis"
"32392",13249,"Mesoplodon layardii"
"32403",136473,"Plecotus kolombatovici"
"32439",13982,"Mus shortridgei"
"32444",22573,"Tylomys nudicaudus"
"32445",3611,"Calomys callosus"
"32446",41393,"Sorex daphaenodon"
"32448",136812,"Dendrolagus stellarum"
"32449",1587,"Murexia naso"
"32450",5812,"Ctenomys magellanicus"
"32458",136578,"Crocidura foetida"
"32459",136794,"Brucepattersonius albinasus"
"32460",5113,"Coleura afra"
"32472",40540,"Sarcophilus harrisii"
"32474",15643,"Otolemur crassicaudatus"
"32477",13897,"Moschus moschiferus"
"32479",42562,"Spermophilus saturatus"
"32480",9002,"Geocapromys ingrahami"
"32483",265,"Acomys cineraceus"
"32487",136671,"Vampyressa thyone"
"32490",16375,"Paruromys dominator"
"32491",20479,"Spermophilus annulatus"
"32492",19306,"Raphicerus melanotis"
"32495",139,"Acerodon jubatus"
"32518",10108,"Hipposideros ridleyi"
"32522",136350,"Centronycteris centralis"
"32523",136417,"Hadromys yunnanensis"
"32524",14154,"Myotis cobanensis"
"32525",21329,"Taeromys callitrichus"
"32526",29665,"Sorex isodon"
"32533",13434,"Microtus irani"
"32534",16510,"Pelomys minor"
"32536",3160,"Budorcas taxicolor"
"32540",18596,"Pseudorca crassidens"
"32541",21220,"Sylvisorex isabellae"
"32544",22605,"Typhlomys cinereus"
"32545",40595,"Tenrec ecaudatus"
"32546",949,"Alticola argentatus"
"32548",41360,"Crocidura tarella"
"32550",42696,"Cebus macrocephalus"
"32551",4218,"Cercopithecus erythrotis"
"32553",42395,"Capreolus capreolus"
"32558",4665,"Chiroderma improvisum"
"32561",741,"Akodon latebricola"
"32562",760,"Akodon subfuscus"
"32563",13411,"Microsciurus mimulus"
"32564",136464,"Ctenomys flamarioni"
"32566",18230,"Procapra przewalskii"
"32573",41760,"Mesoplodon traversii"
"32588",11186,"Lama guanicoe"
"32595",14143,"Myotis atacamensis"
"32596",19541,"Rhinolophus fumigatus"
"32597",1568,"Anoura latidens"
"32600",40521,"Caenolestes caniventer"
"32601",733,"Akodon fumeus"
"32602",39837,"Semnopithecus hector"
"32603",2532,"Balantiopteryx io"
"32604",4066,"Cavia magna"
"32605",15733,"Ovis ammon"
"32642",16635,"Perognathus flavus"
"32644",20521,"Sphaerias blanfordi"
"32651",21490,"Tarsius pumilus"
"32652",12863,"Mastomys pernanus"
"32653",13380,"Micronycteris minuta"
"32656",21787,"Thomasomys paramorum"
"32657",62013,"Microgale fotsifotsy"
"32659",136271,"Chlorocebus pygerythrus"
"32663",136280,"Mus fragilicauda"
"32665",17343,"Pipistrellus inexspectatus"
"32666",41314,"Microgale pusilla"
"32670",42469,"Spermophilus mollis"
"32672",6562,"Diclidurus ingens"
"32674",8972,"Gazella leptoceros"
"32684",16043,"Paracrocidura maxima"
"32686",41431,"Chodsigoa lamula"
"32690",765,"Necromys urichi"
"32694",13384,"Glyphonycteris sylvestris"
"32700",40537,"Pseudantechinus macdonnellensis"
